"Group","Surv_30","CI_30_Lower","CI_30_Upper","Surv_60","CI_60_Lower","CI_60_Upper"
"High",0.798701298701299,0.622184970157195,1,0.798701298701299,0.622184970157195,1
"Low",0.888888888888889,0.705557501515943,1,0.888888888888889,0.705557501515943,1
