"Group","N","Events","Event_Rate","Surv_30d","CI_30d_Lower","CI_30d_Upper","Surv_60d","CI_60d_Lower","CI_60d_Upper"
"High",426,59,0.13849765258216,0.794266688291045,0.739455447093091,0.853140746489632,0.666645828551905,0.570265329788277,0.779315587869695
"Low",426,0,0,1,1,1,1,1,1
