"Group","N","Events","Event_Rate","Surv_30d","CI_30d_Lower","CI_30d_Upper","Surv_60d","CI_60d_Lower","CI_60d_Upper"
"High",426,2,0.00469483568075117,0.942462600690449,0.857442294846444,1,0.942462600690449,0.857442294846444,1
"Low",426,57,0.133802816901408,0.807805776870792,0.754974150779928,0.864334457638987,0.684610576296956,0.591563052633474,0.79229363478866
