Imputation,Mechanism,Model,Metric,Mean,95% CI Lower,95% CI Upper,Formatted
MICE (pooled),mar,XGBoost,C-index (Test),0.6516339869281046,0.2205511466005018,1.0827168272557075,0.652 (0.221-1.083)
MICE (pooled),mcar,DeepSurv,C-index (CV),0.5935888114677831,0.5435183073280443,0.6436593156075219,0.594 (0.544-0.644)
MICE (pooled),mcar,DeepSurv,C-index (Test),0.5431372549019609,0.16901486691320067,0.917259642890721,0.543 (0.169-0.917)
MICE (pooled),mcar,GradientBoosting,C-index (CV),0.5587765645479745,0.5107633100463524,0.6067898190495966,0.559 (0.511-0.607)
MICE (pooled),mcar,GradientBoosting,C-index (Test),0.6767973856209151,0.4245443834866763,0.9290503877551539,0.677 (0.425-0.929)
MICE (pooled),mcar,GradientBoosting,IBS (Test),0.08436827739127961,0.00582286130318363,0.1629136934793756,0.084 (0.006-0.163)
MICE (pooled),mcar,RSF,C-index (CV),0.6117305795026713,0.5578299830982897,0.6656311759070529,0.612 (0.558-0.666)
MICE (pooled),mcar,RSF,C-index (Test),0.7516339869281046,0.5022936428151671,1.000974331041042,0.752 (0.502-1.001)
MICE (pooled),mcar,RSF,IBS (Test),0.07386087137511987,0.01183828438249803,0.1358834583677417,0.074 (0.012-0.136)
MICE (pooled),mcar,XGBoost,C-index (CV),0.5960332705760292,0.5339818038113711,0.6580847373406873,0.596 (0.534-0.658)
MICE (pooled),mcar,XGBoost,C-index (Test),0.6516339869281045,0.3044304101584441,0.9988375636977649,0.652 (0.304-0.999)
MICE (pooled),mnar,DeepSurv,C-index (CV),0.5544249799093298,0.4977275936577902,0.6111223661608695,0.554 (0.498-0.611)
MICE (pooled),mnar,DeepSurv,C-index (Test),0.5732026143790849,0.1783931256894779,0.9680121030686919,0.573 (0.178-0.968)
MICE (pooled),mnar,GradientBoosting,C-index (CV),0.5642254677674915,0.528211374696277,0.600239560838706,0.564 (0.528-0.600)
MICE (pooled),mnar,GradientBoosting,C-index (Test),0.5901960784313726,0.3172048079551033,0.8631873489076418,0.590 (0.317-0.863)
MICE (pooled),mnar,GradientBoosting,IBS (Test),0.0733567391411151,0.011058988102520997,0.1356544901797092,0.073 (0.011-0.136)
MICE (pooled),mnar,RSF,C-index (CV),0.5391644687530431,0.4938861200465345,0.5844428174595517,0.539 (0.494-0.584)
MICE (pooled),mnar,RSF,C-index (Test),0.7823529411764706,0.5529849279192276,1.0117209544337136,0.782 (0.553-1.012)
MICE (pooled),mnar,RSF,IBS (Test),0.07287747977979578,0.010784493276018853,0.1349704662835727,0.073 (0.011-0.135)
MICE (pooled),mnar,XGBoost,C-index (CV),0.555738264479088,0.4803377251395643,0.6311388038186118,0.556 (0.480-0.631)
MICE (pooled),mnar,XGBoost,C-index (Test),0.6098039215686274,0.33208572972804895,0.8875221134092058,0.610 (0.332-0.888)
MIDA,full,DeepSurv,C-index (CV),0.7813488888996394,0.700397342468564,0.8623004353307148,0.781 (0.700-0.862)
MIDA,full,DeepSurv,C-index (Test),0.7158469945355191,,,0.716
MIDA,full,GradientBoosting,C-index (CV),0.740402814036133,0.6493505344034292,0.8314550936688367,0.740 (0.649-0.831)
MIDA,full,GradientBoosting,C-index (Test),0.76775956284153,,,0.768
MIDA,full,GradientBoosting,IBS (Test),0.13080734507471312,,,0.131
MIDA,full,RSF,C-index (CV),0.8109511043533034,0.7261595945382748,0.895742614168332,0.811 (0.726-0.896)
MIDA,full,RSF,C-index (Test),0.7158469945355191,,,0.716
MIDA,full,RSF,IBS (Test),0.10585870765264513,,,0.106
MIDA,full,XGBoost,C-index (CV),0.7452833324469111,0.6629435699159169,0.8276230949779054,0.745 (0.663-0.828)
MIDA,full,XGBoost,C-index (Test),0.644808743169399,,,0.645
MIDA,mar,DeepSurv,C-index (CV),0.6783374572351681,0.5570808993186408,0.7995940151516955,0.678 (0.557-0.800)
MIDA,mar,DeepSurv,C-index (Test),0.6830065359477124,,,0.683
MIDA,mar,GradientBoosting,C-index (CV),0.5892018684994691,0.490011838462171,0.6883918985367672,0.589 (0.490-0.688)
MIDA,mar,GradientBoosting,C-index (Test),0.5637254901960784,,,0.564
MIDA,mar,GradientBoosting,IBS (Test),0.07451572251841646,,,0.075
MIDA,mar,RSF,C-index (CV),0.685992760895822,0.6140584058968162,0.7579271158948278,0.686 (0.614-0.758)
MIDA,mar,RSF,C-index (Test),0.6535947712418301,,,0.654
MIDA,mar,RSF,IBS (Test),0.07132343861416425,,,0.071
MIDA,mar,XGBoost,C-index (CV),0.7393743347232411,0.6730471681506125,0.8057015012958697,0.739 (0.673-0.806)
MIDA,mar,XGBoost,C-index (Test),0.5980392156862745,,,0.598
MIDA,mcar,DeepSurv,C-index (CV),0.6925669285162175,0.5628765453704051,0.8222573116620299,0.693 (0.563-0.822)
MIDA,mcar,DeepSurv,C-index (Test),0.9248366013071896,,,0.925
MIDA,mcar,GradientBoosting,C-index (CV),0.6984328749359844,0.5595324114784141,0.8373333383935546,0.698 (0.560-0.837)
MIDA,mcar,GradientBoosting,C-index (Test),0.923202614379085,,,0.923
MIDA,mcar,GradientBoosting,IBS (Test),0.0751339141982611,,,0.075
MIDA,mcar,RSF,C-index (CV),0.7195552696957439,0.6182093225116342,0.8209012168798536,0.720 (0.618-0.821)
MIDA,mcar,RSF,C-index (Test),0.9575163398692811,,,0.958
MIDA,mcar,RSF,IBS (Test),0.06448841825637235,,,0.064
MIDA,mcar,XGBoost,C-index (CV),0.7300865910691189,0.609919460249214,0.8502537218890238,0.730 (0.610-0.850)
MIDA,mcar,XGBoost,C-index (Test),0.9248366013071896,,,0.925
MIDA,mnar,DeepSurv,C-index (CV),0.8417941157857879,0.7578936837783784,0.9256945477931974,0.842 (0.758-0.926)
MIDA,mnar,DeepSurv,C-index (Test),0.9281045751633987,,,0.928
MIDA,mnar,GradientBoosting,C-index (CV),0.7530209983650525,0.6512422166834421,0.854799780046663,0.753 (0.651-0.855)
MIDA,mnar,GradientBoosting,C-index (Test),0.8529411764705882,,,0.853
MIDA,mnar,GradientBoosting,IBS (Test),0.05594343021732596,,,0.056
MIDA,mnar,RSF,C-index (CV),0.8187537198456425,0.724762653321271,0.912744786370014,0.819 (0.725-0.913)
MIDA,mnar,RSF,C-index (Test),0.8725490196078431,,,0.873
MIDA,mnar,RSF,IBS (Test),0.057363824031978566,,,0.057
MIDA,mnar,XGBoost,C-index (CV),0.8156816930728634,0.7246794527131212,0.9066839334326057,0.816 (0.725-0.907)
MIDA,mnar,XGBoost,C-index (Test),0.8529411764705882,,,0.853
missForest,full,DeepSurv,C-index (CV),0.7706750477691096,0.6879549955096069,0.8533951000286122,0.771 (0.688-0.853)
missForest,full,DeepSurv,C-index (Test),0.6885245901639344,,,0.689
missForest,full,GradientBoosting,C-index (CV),0.7895612987084157,0.7155936188264669,0.8635289785903646,0.790 (0.716-0.864)
missForest,full,GradientBoosting,C-index (Test),0.7950819672131147,,,0.795
missForest,full,GradientBoosting,IBS (Test),0.12693852834591943,,,0.127
missForest,full,RSF,C-index (CV),0.8097733343514623,0.7346120423340584,0.8849346263688661,0.810 (0.735-0.885)
missForest,full,RSF,C-index (Test),0.7103825136612022,,,0.710
missForest,full,RSF,IBS (Test),0.10876732113863122,,,0.109
missForest,full,XGBoost,C-index (CV),0.7670178011479882,0.6631434070814446,0.8708921952145319,0.767 (0.663-0.871)
missForest,full,XGBoost,C-index (Test),0.5846994535519126,,,0.585
missForest,mar,DeepSurv,C-index (CV),0.5334816478889788,0.4542598024321073,0.6127034933458503,0.533 (0.454-0.613)
missForest,mar,DeepSurv,C-index (Test),0.4738562091503268,,,0.474
missForest,mar,GradientBoosting,C-index (CV),0.6183931927163364,0.5416226543566705,0.6951637310760024,0.618 (0.542-0.695)
missForest,mar,GradientBoosting,C-index (Test),0.4803921568627451,,,0.480
missForest,mar,GradientBoosting,IBS (Test),0.0786653155489067,,,0.079
missForest,mar,RSF,C-index (CV),0.5816979062882314,0.49187835523632123,0.6715174573401415,0.582 (0.492-0.672)
missForest,mar,RSF,C-index (Test),0.6862745098039216,,,0.686
missForest,mar,RSF,IBS (Test),0.07876732133852654,,,0.079
missForest,mar,XGBoost,C-index (CV),0.665373225996529,0.5796117822319059,0.7511346697611522,0.665 (0.580-0.751)
missForest,mar,XGBoost,C-index (Test),0.6535947712418301,,,0.654
missForest,mcar,DeepSurv,C-index (CV),0.7616259020474708,0.6683701410639048,0.8548816630310369,0.762 (0.668-0.855)
missForest,mcar,DeepSurv,C-index (Test),0.5522875816993464,,,0.552
missForest,mcar,GradientBoosting,C-index (CV),0.6459973005068835,0.5376392804196355,0.7543553205941316,0.646 (0.538-0.754)
missForest,mcar,GradientBoosting,C-index (Test),0.7516339869281046,,,0.752
missForest,mcar,GradientBoosting,IBS (Test),0.08194246775628106,,,0.082
missForest,mcar,RSF,C-index (CV),0.6818302692553618,0.5719023889944719,0.7917581495162518,0.682 (0.572-0.792)
missForest,mcar,RSF,C-index (Test),0.7549019607843137,,,0.755
missForest,mcar,RSF,IBS (Test),0.07419622874780459,,,0.074
missForest,mcar,XGBoost,C-index (CV),0.6646300302006706,0.5503732644488822,0.7788867959524589,0.665 (0.550-0.779)
missForest,mcar,XGBoost,C-index (Test),0.7516339869281046,,,0.752
missForest,mnar,DeepSurv,C-index (CV),0.6605201565083106,0.5497580760439014,0.7712822369727199,0.661 (0.550-0.771)
missForest,mnar,DeepSurv,C-index (Test),0.6699346405228758,,,0.670
missForest,mnar,GradientBoosting,C-index (CV),0.6483409514455458,0.5567941686466422,0.7398877342444494,0.648 (0.557-0.740)
missForest,mnar,GradientBoosting,C-index (Test),0.5555555555555556,,,0.556
missForest,mnar,GradientBoosting,IBS (Test),0.0752300617315807,,,0.075
missForest,mnar,RSF,C-index (CV),0.6439412446399213,0.5502521938203405,0.7376302954595021,0.644 (0.550-0.738)
missForest,mnar,RSF,C-index (Test),0.6993464052287581,,,0.699
missForest,mnar,RSF,IBS (Test),0.06728369550897789,,,0.067
missForest,mnar,XGBoost,C-index (CV),0.639832147857611,0.5266799799560762,0.7529843157591458,0.640 (0.527-0.753)
missForest,mnar,XGBoost,C-index (Test),0.761437908496732,,,0.761
