"risk_decile","mean_predicted_risk","observed_event_rate"
1,1.51504166322577,0
2,2.15202911069646,0
3,2.69942517635446,0.125
4,3.44932675139636,0
5,4.23262548365802,0
6,4.92230928158703,0
7,5.67583611469253,0
8,6.89769434104738,0.111111111111111
9,9.30141862923903,0.125
10,12.5711947668485,0.333333333333333
